#      Eta                           Vx                       Vy
   0.0000000000000000        0.0000000000000000        0.0000000000000000     
  0.20000000000000001       6.64099999999999968E-002  3.32100000000000017E-003
  0.40000000000000002       0.13275999999999999       1.32719999999999991E-002
  0.59999999999999998       0.19894000000000001       2.98169999999999998E-002
  0.80000000000000004       0.26471000000000000       5.28290000000000079E-002
   1.0000000000000000       0.32978000000000002       8.21050000000000113E-002
   1.2000000000000000       0.39378000000000002       0.11729300000000001     
   1.3999999999999999       0.45626000000000000       0.15789200000000000     
   1.6000000000000001       0.51676000000000000       0.20324799999999998     
   1.8000000000000000       0.57476000000000005       0.25252400000000008     
   2.0000000000000000       0.62977000000000005       0.30476000000000003     
   2.2000000000000002       0.68130999999999997       0.35884600000000000     
   2.3999999999999999       0.72897999999999996       0.41363099999999986     
   2.6000000000000001       0.77244999999999997       0.46793000000000007     
   2.7999999999999998       0.81150999999999995       0.52062399999999986     
   3.0000000000000000       0.84604000000000001       0.57065500000000002     
   3.2000000000000002       0.87607999999999997       0.61718300000000004     
   3.3999999999999999       0.90176000000000001       0.65951699999999991     
   3.6000000000000001       0.92332999999999998       0.69723400000000002     
   3.7999999999999998       0.94111999999999996       0.73011300000000001     
   4.0000000000000000       0.95552000000000004       0.75816499999999998     
   4.2000000000000002       0.96696000000000004       0.78159600000000018     
   4.4000000000000004       0.97587000000000002       0.80073400000000028     
   4.5999999999999996       0.98268000000000000       0.81603899999999951     
   4.7999999999999998       0.98778999999999995       0.82803599999999977     
   5.0000000000000000       0.99153999999999998       0.83721500000000004     
   5.2000000000000002       0.99424999999999997       0.84411499999999995     
   5.4000000000000004       0.99616000000000005       0.84917200000000048     
   5.5999999999999996       0.99748000000000003       0.85279899999999986     
   5.7999999999999998       0.99838000000000005       0.85536199999999996     
   6.0000000000000000       0.99897000000000002       0.85709999999999997     
   6.2000000000000002       0.99936000000000003       0.85828600000000010     
   6.4000000000000004       0.99961000000000000       0.85907200000000028     
   6.5999999999999996       0.99977000000000005       0.85959599999999980     
   6.7999999999999998       0.99985999999999997       0.85989400000000016     
   7.0000000000000000       0.99992000000000003       0.86010000000000009     
   7.2000000000000002       0.99995999999999996       0.86024099999999981     
   7.4000000000000004       0.99997999999999998       0.86031600000000008     
   7.5999999999999996       0.99999000000000005       0.86035199999999978     
   7.7999999999999998       0.99999000000000005       0.86035600000000034     
   8.0000000000000000        1.0000000000000000       0.86039500000000002     
   8.1999999999999993        1.0000000000000000       0.86039499999999958     
   8.4000000000000004        1.0000000000000000       0.86039500000000002     
   8.5999999999999996        1.0000000000000000       0.86039500000000002     
   8.8000000000000007        1.0000000000000000       0.86039500000000046     
